"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-04-02T07:50:38.000Z","text","어린이의 운명은 언제나 어머니가 이끌어 가기 마련이다.","","","","",""
"2023-04-02T06:50:37.000Z","text","부모의 좋은 습관보다 더 좋은 어린이 교육은 없다.","","","","",""
"2023-04-02T06:20:46.000Z","text","만약 지금, 이 일이 당신에게 기회라면 당신의 모든 것을 바쳐야만 한다.","","","3","2",""
"2023-04-02T05:50:38.000Z","text","어두운 곳에서는 모든 것이 분명치 않다.","","","1","",""
"2023-04-02T05:20:46.000Z","text","어린이의 운명은 언제나 어머니가 이끌어 가기 마련이다","","","","",""
"2023-04-02T04:50:39.000Z","text","나이를 먹는다고 하는 것은 사물을 볼 줄 알게 됨을 말한다.","","","","",""
"2023-04-02T04:20:49.000Z","text","끝이 좋으면 모두 좋을 것이다.","","","1","",""
"2023-04-02T03:50:37.000Z","text","공포감은 이 세상의 어떠한 것보다도 수많은 사람들을 패배로 몰라 넣었다.","","","","",""
"2023-04-02T03:20:46.000Z","text","케린어 Antimoon = 궁극, 최고, 지도자","","","","",""
"2023-04-02T02:50:39.000Z","text","나는 과거를 연고하며, 미래를 산다.","","","","1",""
"2023-04-02T02:20:47.000Z","text","작은 일에 너무 관심을 갖는 사람은 대개 큰 일에는 무능해진다.","","","","",""
"2023-04-02T01:50:38.000Z","text","공기의 남신 이타콰(Ithaqua)","","","","",""
"2023-04-02T01:20:47.000Z","text","당구삼년음풍월","","","","",""
"2023-04-02T00:50:39.000Z","text","끝이 좋으면 모두가 좋다.","","","","",""
"2023-04-02T00:20:45.000Z","text","최초의 발굴 마스터 "카달"","","","","",""
"2023-04-01T23:50:38.000Z","text","진짜 결점은 자신의 결점을 알면서도 고리쳐고 노력하지 않는 것이다.","","","","",""
"2023-04-01T23:20:48.000Z","text","덕이란 중용이다.","","","","",""
"2023-04-01T22:50:35.000Z","text","성격은 사람을 안내하는 운명의 지배자이다.","","","","",""
"2023-04-01T22:20:44.000Z","text","로랜시아 광산 근처에서 최고 오란의 깃 발견","","","","",""
"2023-04-01T21:50:34.000Z","text","가장 최상의 길은 없다. 많은 사람이 가고 있다면 그 길이 최상이다.","","","","",""
"2023-04-01T20:50:38.000Z","text","고진감래","","","","",""
"2023-04-01T20:20:41.000Z","text","에필로는 로랜시아의 최초의 어부이기도 하지..","","","","",""
"2023-04-01T19:50:35.000Z","text","교육의 목표는, 사실이 아닌 그 가치에 대한 지식이다.","","","","",""
"2023-04-01T19:20:40.000Z","text","하나의 모범은 천 마디의 논쟁보다 더 가치 있는 것이다.","","","","",""
"2023-04-01T18:50:35.000Z","text","로랜시아 최대의 부자는 콥.. 콥은 어딘가에 많은 돈을 숨겨 두었을 거야","","","","",""
"2023-04-01T18:20:40.000Z","text","사후약방문","","","","",""
"2023-04-01T17:50:36.000Z","text","꾸어주는 사람은 그냥 주는 사람이다.","","","","",""
"2023-04-01T17:20:40.000Z","text","특별한 오란의 깃만 있다면 언제든지 골든고렘과 싸울수 있다.","","","","",""
"2023-04-01T16:50:38.000Z","text","미래는 현재에 의해 얻어진다.","","","","",""
